109.0 0.3578 0.0403 0.6019
110.0 0.3544 0.0429 0.6027
111.0 0.3483 0.0473 0.6044
112.0 0.3411 0.0546 0.6043
113.0 0.3345 0.0585 0.607
114.0 0.3254 0.0655 0.6091
115.0 0.3141 0.0764 0.6095
116.0 0.3008 0.085 0.6142
117.0 0.2878 0.0921 0.6201
118.0 0.2742 0.1018 0.624
119.0 0.2602 0.1081 0.6317
120.0 0.2392 0.1209 0.6399
121.0 0.223 0.1263 0.6507
122.0 0.2061 0.1324 0.6615
123.0 0.1934 0.133 0.6736
124.0 0.1798 0.1371 0.6831
125.0 0.1668 0.1395 0.6937
126.0 0.1508 0.1425 0.7067
127.0 0.1378 0.1444 0.7178
128.0 0.1271 0.1425 0.7304
129.0 0.1176 0.1403 0.7421
130.0 0.1108 0.1373 0.7519
131.0 0.1035 0.1349 0.7616
132.0 0.0968 0.1278 0.7754
133.0 0.0928 0.1208 0.7864
134.0 0.0896 0.1152 0.7952
135.0 0.0902 0.1098 0.8
136.0 0.0912 0.1044 0.8044
137.0 0.0922 0.0974 0.8104
138.0 0.0929 0.0911 0.816
139.0 0.0954 0.0844 0.8202
140.0 0.0979 0.0771 0.825
141.0 0.0984 0.0718 0.8298
142.0 0.1014 0.0682 0.8304
143.0 0.1043 0.0636 0.8321
144.0 0.109 0.0576 0.8334
145.0 0.1107 0.0555 0.8338
146.0 0.1117 0.0543 0.834
147.0 0.1158 0.0514 0.8328
148.0 0.1192 0.0472 0.8336
149.0 0.1225 0.0449 0.8326
150.0 0.1262 0.0421 0.8317
151.0 0.1296 0.042 0.8284
152.0 0.1324 0.0391 0.8285
153.0 0.1375 0.0358 0.8267
154.0 0.1413 0.0325 0.8262
155.0 0.1454 0.0309 0.8237
156.0 0.1493 0.0296 0.8211
157.0 0.154 0.0279 0.8181
158.0 0.1578 0.0269 0.8153
159.0 0.161 0.0255 0.8135
160.0 0.1642 0.0252 0.8106
161.0 0.1689 0.0242 0.8069
162.0 0.1744 0.0223 0.8033
163.0 0.1793 0.0211 0.7996
164.0 0.1842 0.0192 0.7966
165.0 0.1903 0.0186 0.7911
166.0 0.194 0.0186 0.7874
167.0 0.1984 0.0181 0.7835
168.0 0.2038 0.0175 0.7787
169.0 0.2095 0.0167 0.7738
170.0 0.2149 0.016 0.7691
171.0 0.2197 0.0161 0.7642
172.0 0.226 0.0156 0.7584
173.0 0.2303 0.0148 0.7549
174.0 0.2338 0.0153 0.7509
175.0 0.2374 0.0158 0.7468
176.0 0.2405 0.0164 0.7431
177.0 0.2441 0.0159 0.74
178.0 0.2472 0.0169 0.7359
